Alewife,164,116
Davis,187,116
Porter Square,220,121
Harvard Square,241,142
Central Square,260,160
Kendall/MIT,282,181
Charles/MGH,301,201
Park Street,316,214
Downtown Crossing,334,234
South Station,357,256
Broadway,362,281
Andrew,362,304
JFK/UMass,362,326
Savin Hill,348,342
Fields Corner,335,361
Shawmut,335,375
Ashmont,334,391
Cedar Grove,334,403
Butler,326,420
Milton,311,421
Central Avenue,295,422
Valley Road,279,421
Capen Street,262,421
Mattapan,248,422
North Quincy,410,414
Wollaston,430,434
Quincy Center,449,452
Quincy Adams,468,472
Braintree,474,515
Oak Grove,335,50
Malden Center,334,67
Wellington,335,86
Sullivan Square,335,109
Community College,335,131
North Station,339,155
Haymarket,354,180
State,353,216
Downtown Crossing,334,234
Chinatown,317,251
New England Medical Center,304,264
Back Bay,295,274
Massachusetts Avenue,286,283
Ruggles,276,294
Roxbury Crossing,266,303
Jackson Square,256,312
Stony Brook,247,323
Green Street,236,332
Forest Hills,227,342
Lechmere,304,132
Science Park,323,150
North Station,332,161
Haymarket,346,180
Government Center,335,196
Park Street,315,215
Boylston,301,230
Arlington,285,236
Copley,272,236
Hynes Convention Center,256,235
Kenmore,241,236
Blandford Street,232,226
Boston University East,228,222
Boston University Central,224,218
Boston University West,219,214
St. Paul Street (1),215,210
Pleasant Street,210,206
Babcock Street,204,205
Packards Corner,197,205
Harvard Avenue,192,205
Griggs Street/Long Avenue,185,205
Allston Street,179,205
Warren Street,176,207
Washington Street,168,211
Sutherland Street,165,216
Chiswick Road,163,219
Chestnut Hill Avenue,158,224
South Street,152,227
Boston College,120,206
St. Marys Street,218,235
Hawes Street,212,235
Kent Street,207,236
St. Paul Street (2),201,236
Coolidge Corner,196,236
Summit Avenue,190,236
Brandon Hall,184,235
Fairbanks,179,237
Washington Square,173,236
Tappan Street,167,235
Dean Road,161,235
Englewood Avenue,155,235
Cleveland Circle,147,235
Fenway,217,246
Longwood,205,258
Brookline Village,194,268
Brookline Hills,170,271
Beaconsfield,154,253
Reservoir,139,243
Chestnut Hill,127,240
Newton Center,114,239
Newton Highlands,101,239
Eliot,89,239
Waban,75,239
Woodland,62,238
Riverside,43,240
Prudential,256,262
Symphony,251,268
Northeastern University,246,271
Museum of Fine Arts,241,277
Longwood Medical Area,237,281
Brigham Circle,233,285
Fenwood Street,229,289
Mission Park,227,294
Riverway,224,299
Back of the Hill,225,307
Heath Street,226,313
Wonderland,508,63
Revere Beach,491,79
Beachmont,475,93
Suffolk Downs,463,108
Orient Heights,446,122
Wood Island,431,137
Airport,419,150
Maverick,405,164
Aquarium,372,197
State,355,214
Government Center,334,195
Bowdoin,320,181
